author
Роберт Сапольски
Джордж Сэмюэль Клейсон
Натали Ратковски
Аглая Датешидзе
Чарли Хуперт
Франк Яна
Барбара Шер
Браун Брене 
Учитель Русского
Маркел А.
Правда П.
Сью Стокдейл
Гарет Льюис
Саидов Михаил
Симмонс А.
Игорь Ф.
Келли Макгонигал
Елфимова Е.
Нагоски Амелия
Тарп Твайла
Бранден Натаниэль
Стюарт-Котце Робин
Мацусита К.
Льюис Дэвид
Аллан Пиз
Дэвид Дейда
Елена Друма
Уильям Ирвин
Чип Хиз
Егор Рябчик
Ирина Белашева
Энциклопедия быстрых знаний
Сюзан Форвард
Расс Хэррис
Ричард Кох
Гретхен Рубин
Майкл Бут
Петр Образцов
Стив Харви
Шеннон Томас
Уокер Роб
Эмбирджи Эш
Масао К.
Гэри Чепмен
Бабкова Елена Анатольевна
Гермер Кристофер
Тэцуя Миямото
Шаб Лиза
Кехо Дж.
Кукла Андре
Вайс Майкл
Зорина Надежда
Санд И.
